Seed|Collisions|Spread|Total
144|1255226|1014844.46983|2270070.46983
145|1256128|1015356.13832|2271484.13832
146|1255516|1016358.39254|2271874.39254
147|1255322|1015233.29059|2270555.29059
148|1256757|1016819.06746|2273576.06746
149|1256030|1016029.34649|2272059.34649
150|1255207|1016098.60500|2271305.60500
151|1254657|1014760.89733|2269417.89733
152|1256415|1017268.29560|2273683.29560
153|1255550|1015502.50776|2271052.50776
154|1255606|1015200.45324|2270806.45324
155|1256074|1017929.52541|2274003.52541
156|1255716|1015622.47305|2271338.47305
157|1256202|1016694.38218|2272896.38218
158|1254199|1015251.84189|2269450.84189
159|1255790|1016142.41698|2271932.41698
160|1255355|1015381.49784|2270736.49784
161|1257128|1018109.16795|2275237.16795
162|1255834|1015782.47846|2271616.47846
163|1255251|1016004.61533|2271255.61533
164|1256418|1017005.19420|2273423.19420
165|1256824|1016624.09148|2273448.09148
166|1255975|1015019.14930|2270994.14930
167|1255428|1015502.46895|2270930.46895
168|1255827|1017040.46903|2272867.46903
169|1256051|1015240.14513|2271291.14513
170|1254303|1013866.75412|2268169.75412
171|1254573|1015367.92126|2269940.92126
172|1255199|1016540.72672|2271739.72672
173|1254781|1015068.62518|2269849.62518
174|1254569|1015152.81922|2269721.81922
175|1255247|1016647.66880|2271894.66880
176|1255220|1015868.63057|2271088.63057
177|1257829|1018872.72613|2276701.72613
178|1257350|1016929.81051|2274279.81051
179|1255095|1016051.64121|2271146.64121
180|1255277|1015134.65731|2270411.65731
181|1256363|1016661.16784|2273024.16784
182|1255299|1015147.53445|2270446.53445
183|1255036|1015970.77249|2271006.77249
184|1255081|1015084.61978|2270165.61978
185|1254764|1015322.77802|2270086.77802
186|1256377|1015306.99349|2271683.99349
187|1256716|1017017.34592|2273733.34592
188|1255645|1016620.52648|2272265.52648
189|1255919|1017808.48292|2273727.48292
190|1256123|1014938.14202|2271061.14202
191|1255029|1015474.70936|2270503.70936
192|1255342|1016023.55589|2271365.55589
193|1256622|1017501.23706|2274123.23706
194|1255868|1016654.49331|2272522.49331
195|1256237|1017000.13272|2273237.13272
